optimizer,evaluations,runs,best_mae_median,best_mae_q25,best_mae_q75,gap_closed,gap_closed_q25,gap_closed_q75,cap,share_of_evaluations_meeting_cap,share_of_random_meeting_cap,median_random_meeting_cap,best_known_meeting_cap
random search,54,50,0.2963995272154242,0.29119494501141235,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,55,50,0.2963995272154242,0.29119494501141235,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,56,50,0.2963995272154242,0.29119494501141235,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,57,50,0.2963995272154242,0.29119494501141235,0.30579226035010953,0.4154221668361845,0.32120204987327977,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,58,50,0.2963995272154242,0.29119494501141235,0.30579226035010953,0.4154221668361845,0.32120204987327977,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,59,50,0.2948340382260476,0.29057048732417334,0.3032037925018254,0.43112585537584003,0.34716741479133933,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,60,50,0.2948340382260476,0.29057048732417334,0.3032037925018254,0.43112585537584003,0.34716741479133933,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,61,50,0.2948340382260476,0.29057048732417334,0.3032037925018254,0.43112585537584003,0.34716741479133933,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,62,50,0.2948340382260476,0.29057048732417334,0.3024175597414368,0.43112585537584003,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,63,50,0.2948340382260476,0.29057048732417334,0.3024175597414368,0.43112585537584003,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,64,50,0.2948340382260476,0.29057048732417334,0.3024175597414368,0.43112585537584003,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,65,50,0.2945867453106028,0.29057048732417334,0.3024175597414368,0.43360649302232745,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,66,50,0.2945867453106028,0.29057048732417334,0.3024175597414368,0.43360649302232745,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,67,50,0.2945867453106028,0.29057048732417334,0.3024175597414368,0.43360649302232745,0.35505425045265704,0.47389426568747295,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,68,50,0.2941874491760097,0.2885617195685526,0.3018619972430918,0.437611901029212,0.3606271931546028,0.4940445595552906,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,69,50,0.2941874491760097,0.2885617195685526,0.3018619972430918,0.437611901029212,0.3606271931546028,0.4940445595552906,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,70,50,0.2941874491760097,0.2885617195685526,0.3018619972430918,0.437611901029212,0.3606271931546028,0.4940445595552906,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,71,50,0.2941874491760097,0.2885617195685526,0.3018619972430918,0.437611901029212,0.3606271931546028,0.4940445595552906,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,72,50,0.2941874491760097,0.2885617195685526,0.3018619972430918,0.437611901029212,0.3606271931546028,0.4940445595552906,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,73,50,0.29399663270455445,0.2877973665515326,0.30172245524635516,0.4395260137801178,0.36202696285584274,0.5017119157584204,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,74,50,0.2939093513269199,0.28700053211348675,0.3014290106716388,0.4404015482482529,0.3649705557116652,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,75,50,0.2937182945176082,0.28700053211348675,0.2990311394108517,0.4423180718694164,0.3890240135725138,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,76,50,0.2937182945176082,0.28700053211348675,0.2987485048757922,0.4423180718694164,0.3918591690665756,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,77,50,0.2937182945176082,0.28700053211348675,0.2987485048757922,0.4423180718694164,0.3918591690665756,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,78,50,0.2937182945176082,0.28700053211348675,0.2987485048757922,0.4423180718694164,0.3918591690665756,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,79,50,0.2937182945176082,0.28700053211348675,0.2987485048757922,0.4423180718694164,0.3918591690665756,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,80,50,0.2937094217767112,0.28700053211348675,0.2987485048757922,0.442407075855062,0.3918591690665756,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,81,50,0.2935880898520389,0.28700053211348675,0.2983460693516975,0.44362417720032987,0.39589606882796774,0.5097050986665461,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,82,50,0.29349870265373157,0.2869973339305115,0.2971440772575409,0.4445208355167889,0.40795345767059404,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,83,50,0.29349870265373157,0.2869973339305115,0.2971440772575409,0.4445208355167889,0.40795345767059404,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,84,50,0.29349870265373157,0.2869973339305115,0.2971440772575409,0.4445208355167889,0.40795345767059404,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,85,50,0.29331441951859905,0.2869973339305115,0.29676796654923365,0.4463694112505507,0.4117262886900176,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
